section,continent,country,group,supergroup/association,site,unit,shared?,name,intermediate detrital?,intermediate intrusive?,depositional?,height,depth,depth_adj,age,age_std,constraint type (with respect to section age),method,material,Reference,Include in sedimentation rate calculations?,Exclude?,notes
Djibalonga,Africa,Gabon,Francevillian Group,,,FA,TRUE,FA detrital zircon,FALSE,FALSE,FALSE,0,,,2703,20.5,max,U-Pb LA-ICP-MS,detrital zircons from sandstone,Ossa Ossa et al. (2020),N,FALSE,Youngest detrital zircon in lower FA unit provides a maximum age for FA and above.
Djibalonga,Africa,Gabon,Francevillian Group,,,FD,TRUE,FD tuff - revised,FALSE,FALSE,FALSE,39,,,2003,8,min,U-Pb,welded tuff zircons,"Weber et al. (2016), revised from Horie et al. (2005)",N,FALSE,"Reinterpretation of Horie et al. (2005) age of 2083 +/- 6 Ma by Weber et al. (2016). Age reinterpreted as mixing between an older and younger population, with the younger population represented by a subcoordant zircon (2003 +/- 16 Ma) that may represent the emplacement time of the pyroclastic flow.  "
Lastourville,Africa,Gabon,Francevillian Group,,,FA,TRUE,FA detrital zircon,FALSE,FALSE,FALSE,-1,,,2703,20.5,max,U-Pb LA-ICP-MS,detrital zircons from sandstone,Ossa Ossa et al. (2020),N,FALSE,Youngest detrital zircon in lower FA unit provides a maximum age for FA and above.
Lastourville,Africa,Gabon,Francevillian Group,,,FD,TRUE,FD tuff - revised,FALSE,FALSE,FALSE,24,,,2003,8,min,U-Pb,welded tuff zircons,"Weber et al. (2016), revised from Horie et al. (2005)",N,FALSE,"Reinterpretation of Horie et al. (2005) age of 2083 +/- 6 Ma by Weber et al. (2016). Age reinterpreted as mixing between an older and younger population, with the younger population represented by a subcoordant zircon (2003 +/- 16 Ma) that may represent the emplacement time of the pyroclastic flow.  "
LST01,Africa,Gabon,Francevillian Group,,,N'goutou complex (intrudes FA/FB),TRUE,N'goutou intrusive,FALSE,FALSE,FALSE,,109,,2191,6.5,max,Pb-Pb,zircons from intrusive granite,Sawaki et al. (2017),N,FALSE,"Minimum depositional age of FA and FB from intrusive granite; using here as maximum age for FC. While the precise nature of the relationship is unclear, Figure 3 of Thieblemont et al. (2014) suggests that the N'goutou Complex is overlain by FC such that its emplacement must have pre-dated the deposition of FC. Similarity between the geochemistry of FB lavas and the N'goutou Complex also suggests that they are roughly co-eval. The basin evolution depicted in Weber et al. (2016) similarly suggests that the N'goutou Complex is either older than or coeval with lower FC. Note that the age is also a bit uncertain (see Sawaki et al. 2017; had to be corrected for common lead contamination), and is older than previous ages for the same unit."
LST01,Africa,Gabon,Francevillian Group,,,FD,TRUE,FD tuff - revised,FALSE,FALSE,FALSE,,20,,2003,8,min,U-Pb,welded tuff zircons,"Weber et al. (2016), revised from Horie et al. (2005)",N,FALSE,"Reinterpretation of Horie et al. (2005) age of 2083 +/- 6 Ma by Weber et al. (2016). Age reinterpreted as mixing between an older and younger population, with the younger population represented by a subcoordant zircon (2003 +/- 16 Ma) that may represent the emplacement time of the pyroclastic flow.  "
LST12,Africa,Gabon,Francevillian Group,,,N'goutou complex (intrudes FA/FB),TRUE,N'goutou intrusive,FALSE,FALSE,FALSE,,139,,2191,6.5,max,Pb-Pb,zircons from intrusive granite,Sawaki et al. (2017),N,FALSE,"Minimum depositional age of FA and FB from intrusive granite; using here as maximum age for FC. While the precise nature of the relationship is unclear, Figure 3 of Thieblemont et al. (2014) suggests that the N'goutou Complex is overlain by FC such that its emplacement must have pre-dated the deposition of FC. Similarity between the geochemistry of FB lavas and the N'goutou Complex also suggests that they are roughly co-eval. The basin evolution depicted in Weber et al. (2016) similarly suggests that the N'goutou Complex is either older than or coeval with lower FC. Note that the age is also a bit uncertain (see Sawaki et al. 2017; had to be corrected for common lead contamination), and is older than previous ages for the same unit."
LST12,Africa,Gabon,Francevillian Group,,,FD,TRUE,FD tuff - revised,FALSE,FALSE,FALSE,,24,,2003,8,min,U-Pb,welded tuff zircons,"Weber et al. (2016), revised from Horie et al. (2005)",N,FALSE,"Reinterpretation of Horie et al. (2005) age of 2083 +/- 6 Ma by Weber et al. (2016). Age reinterpreted as mixing between an older and younger population, with the younger population represented by a subcoordant zircon (2003 +/- 16 Ma) that may represent the emplacement time of the pyroclastic flow.  "
Moanda,Africa,Gabon,Francevillian Group,,,FA,TRUE,FA detrital zircon,FALSE,FALSE,FALSE,0,,,2703,20.5,max,U-Pb LA-ICP-MS,detrital zircons from sandstone,Ossa Ossa et al. (2020),N,FALSE,Youngest detrital zircon in lower FA unit provides a maximum age for FA and above.
Moanda,Africa,Gabon,Francevillian Group,,,N'goutou complex (intrudes FA/FB),TRUE,N'goutou intrusive,FALSE,FALSE,FALSE,9,,,2191,6.5,min,Pb-Pb,zircons from intrusive granite,Sawaki et al. (2017),N,FALSE,Intrusive granite provides a minimum age for FA and FB.
ADP-GKF01,Africa,South Africa,Ghaap Group,Transvaal Supergroup,,Vryburg Formation,TRUE,Vryburg Tuff,FALSE,FALSE,FALSE,,1503,,2669,2.5,max,U-Pb SHRIMP,tuff zircons,Gutzmer and Beukes (1998),N,FALSE,The Vryburg Formation is at the base of Transvaal Supergroup (and directly below the Boomplaas Formation); dated sample was collected from 40 meters above the base of the Vryburg Formation. 
ADP-GKF01,Africa,South Africa,Ghaap Group,,,Lokammona Formation,FALSE,Lokammona Tuff,FALSE,FALSE,TRUE,,,,2650,4,depositional,U-Pb SHRIMP,tuff zircons,Gutzmer and Beukes (1998),N,FALSE,Depositional age for the Lokammona Formation; stratigraphic position of tuff with respect to samples within the Lokammona Formation is not constrained.
