Inversion priority level,section,continent,country,group,supergroup/association,basin,site,formation,member,latitude,longitude,d13c,d18o,d13c_org,d33S_CAS,d34S_CAS,d36S_CAS,Δ33S_CAS,Δ36S_CAS2,d33S_CRS,d34S_CRS,d36S_CRS,Δ33S_CRS,Δ36S_CRS,d98Mo,87Sr/86Sr,# samples (d13C),Downsample?,# samples after downsampling,Downsampling description,Stratigraphic order?,Stratigraphic position notes,Calculate sedimentation rate?,Sedimentation rate breaks,Sedimentation rate notes,Superposition dictionary entry (these sections must be older),Included in composite section?,References (isotope data),Notes
2,Sengoma Argillite Formation,Africa,Botswana,Segwagwa Group,Transvaal Supergroup (Bushveld),Bushveld Basin,,Sengoma Argillite Formation,,-25.3988090,26.1595092,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,10,TRUE,4,,TRUE,,TRUE,,,,FALSE,Bekker et al. (2008),Location exracted from map. Ranked as priority 2 because there is no direct maximum geochronological age constraint for the Sengoma Argillite Formation; using a correlative age from the Transvaal Basin.
3,Djibalonga,Africa,Gabon,Francevillian Group,Franceville Basin,,,"FC, FD",,-1.364529,13.39146,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,24,TRUE,,,TRUE,,TRUE,,,,FALSE,Preat et al. (2011),Location extracted from map.
3,Lastourville,Africa,Gabon,Francevillian Group,Franceville Basin,,Moukouma (Lastoursville),"FC, FD",,-0.8138573,12.6124,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,7,TRUE,,,TRUE,,TRUE,,,,FALSE,Preat et al. (2011),"Location extracted from map. Positions for Lastourville sections 1015, 1016, and 1017 are given in the same stratigraphic framework (see Figure 2 of Preat et al. 2011); including combined data as composite Lastourville section."
3,LST01,Africa,Gabon,Francevillian Group,Franceville Basin,Franceville Basin,,FC,,-0.76694,12.89726,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,Y,N,20,TRUE,,,TRUE,,TRUE,,,,FALSE,Ossa Ossa et al. (2018),"Location estimated from map. Section is correlative with the LST12 core, which is more densely sampled (and also includes part of the FB formation)."
1,LST12,Africa,Gabon,Francevillian Group,Franceville Basin,Franceville Basin,Lastoursville sub-basin,"FB, FC",,-0.80857,12.86514,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,113,TRUE,38,,TRUE,,TRUE,,,,FALSE,Mayika et al. (2020),Location estimated from map in Ossa Ossa et al. (2018).
3,Moanda,Africa,Gabon,Francevillian Group,Franceville Basin,,,FB,,-1.497932,13.19863,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,4,TRUE,,,TRUE,,TRUE,,,,FALSE,Preat et al. (2011),Location extracted from map. 
4,DeHoop Farm,Africa,South Africa,Pretoria Group,Transvaal Supergroup,Transvaal,De Hoop Farm,Duitschland Formation,,-24.1736111,29.1694444,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,9,TRUE,,,TRUE,,TRUE,,,,TRUE,Bekker et al. (2001),Location from Frauenstein et al. (2009). Included in the Tongwane-Duitshchland composite section using correlated heights from Bekker et al. (2001). 
4,Duitschland - Guo et al. (2009),Africa,South Africa,Pretoria Group,Transvaal Supergroup,Transvaal,Farm Duitschland,Duitschland Formation,,-24.295556,29.136139,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N,N,9,TRUE,,,TRUE,,TRUE,,,,TRUE,Guo et al. (2009),Include if incorporating sulfur isotope data. Included in Tongwane-Duitschland Composite - Guo et al. (2009) section. 
4,Duitschland Farm,Africa,South Africa,Pretoria Group,Transvaal Supergroup,Transvaal,Duitschland Farm,Duitschland Formation,,-24.2916667,29.1291667,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,Y,21,TRUE,,,TRUE,,TRUE,,,,TRUE,Bekker et al. (2001),Location from Frauenstein et al. (2009). Most strontium isotope data likely altered (see page 272 of Bekker et al. 2001). Included in the Tongwane-Duitshchland composite section using correlated heights from Bekker et al. (2001). 
4,Duitschland-B,Africa,South Africa,Pretoria Group,Transvaal Supergroup,Transvaal,Farm Langbaken 340KS,Duitschland Formation,,-24.201503,29.630786,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,2,FALSE,,,TRUE,,TRUE,,,,FALSE,Warke (2016),"Excluding section because superposition with the Tongwane Formation is not enforce, and isotope profiles are similar to those from other sources. Note that stratigraphic column in Figure 6.3 of Warke (2016) indicates the entire Langbaken 340KS section is older than (stratigraphically beneath) the mid-Duitschland unconformity. "
