Formation,Supergroup/Association,Group,Subgroup,Member,Region,Max age,Max age std,Max age name,Min age,Min age std,Min age name,Depositional age,Depositional age std,Depositional age name,Older sections,Co-eval sections,Younger sections,Older formations (not enforced),Younger formations (not enforced),Formation included in d13C database?,Includes samples included in d13C database?,Age constrained by d13C inference?,Classification (MIF or MDF),Stratigraphic order (within formation),Stratigraphic order (within basin),Isotope data references,Age references,Notes,Max. posterior age (median),Max. posterior age (97.5%),Min. posterior age (median),Min. posterior age (2.5%),Max. posterior age - co-eval (median),Max. posterior age - co-eval (97.5%),Min. posterior age - co-eval (median),Min. posterior age - co-eval (2.5%)
Houtenbek Formation,Transvaal Supergroup - Transvaal Basin,Upper Pretoria Group,,,South Africa,2080,3.5,Magaliesburg DZ - Zeh et al. 2016,2054.89,0.185,RLS,,,,,"Silverton-Houtenbek composite, Silverton-Houtenbek composite - Guo et al. (2009)",,Silverton Formation,,TRUE,TRUE,TRUE,MDF,,11,Guo et al. 2009,"Zeh et al. 2016, Zeh et al. 2020, Zeh et al. 2015",,,,,,2074.226888,2083.636957,2064.34323,2056.4419
Silverton Formation,Transvaal Supergroup - Transvaal Basin,Upper Pretoria Group,,,South Africa,2224,10.5,Hekpoort Tuff,2054.89,0.185,RLS,,,,,"Silverton-Houtenbek composite, Silverton-Houtenbek composite - Guo et al. (2009)",,,,TRUE,TRUE,TRUE,MDF,,10,Guo et al. 2009,"Dorland 2004 (ref. in Schröder et al. 2016), Zeh et al. 2015",,,,,,2179.847292,2224.171422,2079.721754,2065.835924
Boshoek Formation,Transvaal Supergroup - Transvaal Basin,Lower Pretoria Group,,,South Africa,2243,3.45,Boshoek DZ,2224,10.5,Hekpoort Tuff,,,,"Tongwane-Duitschland composite, Tongwane-Duitschland composite - Guo et al. (2009)",,"Silverton-Houtenbek composite, Silverton-Houtenbek composite - Guo et al. (2009)",Timeball Hill Formation,,FALSE,FALSE,FALSE,MDF with restricted MIF,3,9,"Luo et al. 2016, Bekker et al. 2004","Zeh et al. 2020, Dorland 2004 (ref. in Schroeder et al. 2016)",,2339.59461,2402.965789,2179.847292,2079.413948,,,,
Timeball Hill Formation,Transvaal Supergroup - Transvaal Basin,Lower Pretoria Group,,Rietfontein,South Africa,2256,3,,2224,10.5,Hekpoort Tuff,,,,"Tongwane-Duitschland composite, Tongwane-Duitschland composite - Guo et al. (2009)",,"Silverton-Houtenbek composite, Silverton-Houtenbek composite - Guo et al. (2009)",Rooihoogte Formation,Boshoek Formation,FALSE,FALSE,FALSE,MDF with restricted MIF,3,8,Poulton et al. 2021,"Rasmussen et al. 2013, Dorland 2004 (ref. in Schroeder et al. 2016) ","Using tuff age from upper Timeball Hill (2256 +/- 6 Ma; Rasmussen et al. 2013)  as maximum age constraint, and age for stratigraphically higher Hekpoort lavas as minimum age constraint (Dorland 2004). ",2339.59461,2402.965789,2179.847292,2079.413948,,,,
Timeball Hill Formation,Transvaal Supergroup - Transvaal Basin,Lower Pretoria Group,,,South Africa,2310,4.5,,2256,3,,,,,"Tongwane-Duitschland composite, Tongwane-Duitschland composite - Guo et al. (2009)",,"Silverton-Houtenbek composite, Silverton-Houtenbek composite - Guo et al. (2009)",Rooihoogte Formation,,FALSE,FALSE,FALSE,MDF with restricted MIF,2,7,"Luo et al. 2016, Bekker et al. 2004, Poulton et al. 2021, Izon et al. 2022, Uveges et al. 2023",Rasmussen et al. 2013,"Using tuff age from the lower Timeball Hill age (2310 +\- 9 Ma; Rasmussen et al. 2013) as maximum age constraint, and tuff age from upper Timeball Hil (2256 +/- 6 Ma; Rasmussen et al. 2013)  as minimum age constraint. 

The MDF signal persists across the Rooihoogte-Timeball Hill boundary. ",2339.59461,2402.965789,2179.847292,2079.413948,,,,
Timeball Hill Formation,Transvaal Supergroup - Transvaal Basin,Lower Pretoria Group,,,South Africa,2316,3.5,Rooihoogte-Timeball pyrite,2310,4.5,,,,,"Tongwane-Duitschland composite, Tongwane-Duitschland composite - Guo et al. (2009)",,"Silverton-Houtenbek composite, Silverton-Houtenbek composite - Guo et al. (2009)",Rooihoogte Formation,,FALSE,FALSE,FALSE,MDF,1,6,"Luo et al. 2016, Bekker et al. 2004, Poulton et al. 2021, Izon et al. 2022, Uveges et al. 2023","Rasmussen et al. 2013, Hannah et al. 2004","Samples are from the lower Timeball Hill Formation; using pyrite Re-Os age from the Rooihoogte-Timeball Hill boundary  (Hannah et al. 2004) as maximum age constraint (dated interval is within 10 m of studied samples; see Fig. 2 of Luo et al. 2016), and tuff age from the lower Timeball Hill age (2310 +\- 9 Ma; Rasmussen et al. 2013) as minimum age constraint. 

The MDF signal persists across the Rooihoogte-Timeball Hill boundary. ",2339.59461,2402.965789,2179.847292,2079.413948,,,,
Rooihoogte Formation,Transvaal Supergroup - Transvaal Basin,Lower Pretoria Group,,,South Africa,2427,3.5,Duitschland - upper diamictite DZ (Senger et al. 2023),2316,3.5,Rooihoogte-Timeball pyrite,,,,"Tongwane-Duitschland composite, Tongwane-Duitschland composite - Guo et al. (2009)",,"Silverton-Houtenbek composite, Silverton-Houtenbek composite - Guo et al. (2009)",,Timeball Hill Formation,FALSE,FALSE,FALSE,MDF,2,5,"Luo et al. 2016, Bekker et al. 2004, Poulton et al. 2021, Izon et al. 2022, Uveges et al. 2023","Hannah et al. 2004, Senger et al. 2023 (reinterpretation of data from Zeh et al. 2020)","Re-Os pyrite age is near the top of the studied interval (which ends above the Rooihoogte-Timeball contact)  in each core; conservatively using as a minimum age for all Rooihoogte Formation samples. Not sing MDA from detrital zircons in the upper Rooihoogte Formation 2352 +/- 18 Ma, Zeh et al. 2020) because position with respect to observations is unclear.

The MIF-S to MDF-S transition occurs within the upper Rooihoogte Formation, and is marked by a thin (~5m) 'transition interval' with intermediate D33S values. ",2339.59461,2402.965789,2179.847292,2079.413948,,,,
Rooihoogte Formation,Transvaal Supergroup - Transvaal Basin,Lower Pretoria Group,,,South Africa,2427,3.5,Duitschland - upper diamictite DZ (Senger et al. 2023),2316,3.5,Rooihoogte-Timeball pyrite,,,,"Tongwane-Duitschland composite, Tongwane-Duitschland composite - Guo et al. (2009)",,"Silverton-Houtenbek composite, Silverton-Houtenbek composite - Guo et al. (2009)",,Timeball Hill Formation,FALSE,FALSE,FALSE,MIF,1,5,"Luo et al. 2016, Bekker et al. 2004, Poulton et al. 2021, Izon et al. 2022, Uveges et al. 2023","Hannah et al. 2004, Senger et al. 2023 (reinterpretation of data from Zeh et al. 2020)","Re-Os pyrite age is near the top of the studied interval (which ends above the Rooihoogte-Timeball contact)  in each core; conservatively using as a minimum age for all Rooihoogte Formation samples. 

The MIF-S to MDF-S transition occurs within the upper Rooihoogte Formation, and is marked by a thin (~5m) 'transition interval' with intermediate D33S values. ",2339.59461,2402.965789,2179.847292,2079.413948,,,,
Duitschland Formation,Transvaal Supergroup - Transvaal Basin,Lower Pretoria Group,,Above MDU,South Africa,2443,16.5,mid-Duitschland unconformity conglomerate,2316,3.5,Rooihoogte-Timeball pyrite,,,,,"Tongwane-Duitschland composite, Tongwane-Duitschland composite - Guo et al. (2009)",,Tongwane Formation,,TRUE,TRUE,TRUE,MDF,,4,Guo et al. 2009,"Hannah et al. 2004, Millikin et al. 2024",MIF to MDF transition occurs across the sequence boundary (mid-Duitschland unconformity),,,,,2382.508466,2439.284259,2339.59461,2316.889685
Duitschland Formation,Transvaal Supergroup - Transvaal Basin,Lower Pretoria Group,,Beneath MDU,South Africa,2480,3,Penge Iron tuff,2443,16.5,mid-Duitschland unconformity conglomerate,,,,,"Tongwane-Duitschland composite, Tongwane-Duitschland composite - Guo et al. (2009)",,Tongwane Formation,,TRUE,TRUE,TRUE,MIF,,3,Guo et al. 2009,"Nelson et al. 1999, Millikin et al. 2024",MIF to MDF transition occurs across the sequence boundary (mid-Duitschland unconformity),,,,,2465.807906,2479.488185,2449.53483,2416.505536
Malmani Subgroup,Transvaal Supergroup - Transvaal Basin,Chuniespoort Group,,,South Africa,2488,3.5,,2480,3,Penge Iron tuff,,,,,,"Tongwane-Duitschland composite, Tongwane-Duitschland composite - Guo et al. (2009)",,,FALSE,FALSE,FALSE,MIF,,2,Guo et al. 2009,"Martin et al. 1998, Nelson et al. 1999 (unpublished data from A.F. Trendall)",Maximum age is for a tuff in the Oak Tree Formation (lowermost unit in the Malmani Subgroup). ,,,2472.269759,2440.259226,,,,
Black Reef Quartzite Formation,Transvaal Supergroup - Transvaal Basin,Chuniespoort Group,,,South Africa,2669,2.5,Vryburg Tuff,2588,3.5,,,,,,,"Tongwane-Duitschland composite, Tongwane-Duitschland composite - Guo et al. (2009)",,,FALSE,FALSE,FALSE,MIF,,1,Hofmann et al. 2009,"Martin et al. 1998, Gutzmer and Beukes 1998",Minimum age is for a tuff in the overlying Oak Tree Formation (Martin et al. 1998); maximum age is for the correlative Vryburg Formation in the Griqaland West region (see correlation in Martin et al. 1998); using in absence of direct maximum age constraints. Stratigraphically lower than the Tongwane Formation.,,,2472.269759,2440.259226,,,,
Lucknow Formation,Transvaal Supergroup - Griqualand West,Postmasburg Group,,,South Africa,2233,11,Lucknow DZ - Niekerk (2006),1915.6,0.7,Hartley,,,,,"Postmasburg Group Composite, Postmasburg Group Composite - Guo et al. 2009",,,,TRUE,TRUE,TRUE,MDF,,8,Guo et al. 2009,"Niekerk 2006, Cornell et al. 2016",,,,,,2212.872612,2252.663166,2060.04129,1928.645264
